GeneralFeedbackID,ID,Content
12851085,4,ưng nhất vẫn là tỉ lên 1610
12851085,5,màn rộng hẳn
12851085,6,chỉnh ảnh
12851085,7,làm việc các phần mềm kỹ thuật
12851085,8,chia đôi màn hình đều lợi về chiều cao
12851085,9,nhờ cái tỉ lệ này nên chiều cao màn cao gần bằng con 27
12851085,10,độ sáng con này hơn dell u kha khá
12851085,11,thích hợp làm việc khu vực nhiều ánh sáng hơn so với dell
12851085,12,về thẩm mỹ thì tạm được
12851085,13,không đẹp bằng dell u
12851085,14,dell cho viền mỏng hơn con proart này
12851085,15,chân đế dễ nâng hạ
12851085,16,chỉnh góc nghiêng hoặc bắt arm đằng sau cũng được
18742451,0,hàng ngon
18742451,1,nhưng trừ khi thật sự cần mầu chuẩn
18742451,2,nếu không có thể mua xiaomi có 3tr mầu cũng rất ổn hay thêm tiền mua 4k 27inch khác
18742451,3,nếu thật sự cần mầu chuẩn cho làm đồ hoạ thì tầm giá này cũng rẻ nhất rồi
15495723,0,màn mình mua 261 dùng đến 102 thì nguồn chết mở ko lên
15495723,1,gọi lên ttbh asus thì đc bảo là màn mua sd chưa đến 1th thì có thể liên hệ đại lý mua để đổi màn mới
15495723,2,sau đó m gọi lên cskh tiki thì tiki bảo là sẽ cho nhân viên đến nhà bảo hànhchứ ko nói gì về đổi hàng
15495723,3,cuối cùng m gọi lại cho tổng đài asus thì dc hd đến ttbh asus ở tp mình
15495723,4,màn thì bên asus bảo hiện tại chưa có nhưng chắc chắn sẽ đổi màn mới cho mình màn hỏng dc asus thay nguồn khác để dùng tạm ps check sn thì thấy màn bị trôi bh hơn 1th so vs tgian mình mua
19303056,0,màn dùng ngoan như ko hiểu sao lúc mở hộp có mùi khép
19303056,1,mùi cháy tỏa ra trong màng liệu có phải màng đã bị cháy hay sao nữa
17551150,0,chất lượng màn hình tốt
17551150,1,mình ở hn
17551150,2,vừa mua xong
17551150,3,nhưng không còn nhu cầu dùng
17551150,4,ae nào muốn mua lại call telegram datvv mình pass lại cho giá rẻ nhé ạ
19254758,0,màn tốt
19254758,1,màu đẹp
19254758,2,chân đế chắc chắn
19254758,3,kích hoạt bảo hành bằng hoá đơn khi nhận nên không lo trôi bao hành
8845185,0,màn hình ship tới nhanh và cẩn thận
8845185,1,chất lượng hiển thị tốt
8845185,2,không có bị hở sáng màn hình
8845185,3,độ chính xác màu cao mình đã test chỉnh màu ảnh và cho ra màu chính xác trên các màn hình máy tính và điện thoại khác nhau
8845185,4,rất tốt trong giá tiền
14519093,0,tiki giao hàng nhanh
14519093,1,màn hình đẹp
14519093,2,có hướng dẫn lắp đặt rõ
14519093,3,tuy nhiên
14519093,4,mình dùng tai nghe cắm vào thì bị lỗi lúc rõ lúc không
14519093,5,giống như mòn bộ tiếp xúc
14519093,6,phải kéo lỏng ra 1 tí
19763706,0,sản phẩm chất lượng
19763706,1,giao hàng nhanh chóng
4830405,0,mình đã kì vọng màn này đỡ bị hở sáng hơn dell nhưng thấy vẫn vậy thậm chí còn nặng hơn
4830405,1,hơi buồn nhưng nghĩ mất công đổi trả nên chấp nhận vậ cho 3 sao
12698951,0,màn siêu đẹp
12698951,1,hơn hẵn dell u 2419h cũ của mình
12698951,2,màu dell nhạt hơn
12698951,3,pro art có nhìu profile màu sẵn tiện đổi qua lại giữa game film hay xem hình ảnh
7483964,0,mình dùng như màn hình phụ để dọc với mac mini và macbook thấy cũng khá tốt
7483964,1,dùng hơn 1 tháng rồi chưa gặp vấn đề gì
7483964,2,màu sắc dĩ nhiên là không so được với những con srgb 98 nhưng cũng khá ổn
6825382,0,màn hình build cứng cáp ok
6825382,1,3 viền mỏng trừ viền dưới có thước hơi dày nhưng cảm giác vẫn ổn
6825382,2,so với dell u2419 thì con này sáng hơn nhiều
6825382,3,brightness để 50100 nhưng vẫn sáng hơn
6825382,4,ae xài màn ở phòng sáng có lẽ sẽ k lo màn k đủ sáng
6825382,5,cảm nhận ban đầu là vậy
17947307,0,màn hình rất chất lượng
17947307,1,màu sắc đẹp chuyên để thiết kế
17947307,2,shop giao hàng nhanh
5303927,0,giao hàng sớm hơn dự kiến
5303927,1,màn hình mình nhận không hở sáng và không điểm chết
5303927,2,chất lượng rất tốt
5303927,3,chưa bao giờ thất vọng với tiki
5303927,4,bảo hàng 36 tháng nên cũng yên tâm
5303927,5,về màu sắc rất tuyệt vời
5303927,6,không làm mình thất vọng
11774734,0,sản phẩm như mô tả
11774734,1,giao hàng tương đối nhanh
11774734,2,đầy đủ phụ kiện
11774734,3,đã test và k thấy vấn đề gì
11774734,4,rất tốt
11774734,5,tuy nhiên shop rep inbox hơi chậm
11774734,6,cần cải thiện
4799230,0,cảm nhận sau một tối sử dụng là chất lượng hiển thị rất tốt trong tầm giá 2tr
4799230,1,mới sử dụng một ngày nhưng thấy khá hài lòng
4799230,2,tiki giao hàng rất nhanh so với dự kiến
4799230,3,màn hình này bị hở sáng nhẹ nhưng trong tầm giá này mình ko đỏi hỏi gì nhiều!!!
14077149,0,vừa sử dụng được mấy hôm
14077149,1,chưa đánh giá gì nhiều
14077149,2,tiki thì uy tín rồi
14077149,3,chất lượng asus chắc không phải bàn
17848313,0,chất lượng tạm ổn
17848313,1,ship nhanh
17848313,2,đóng gói cẩn thận
6723786,0,giao hàng nhanh
6723786,1,đúng như mình mong đợi
6723786,2,về chất lượng màn hình thì mình đã xem kỹ trên kênh web cũng như trên youtube nên ko có gì ngoài ý muốn
6723786,3,lý do mình chọn màn hình này là màu sắc
6723786,4,75hz và 1920x1200
6723786,5,rất hài lòng
12787183,0,mới nhận được màn hình
12787183,1,chỉnh ảnh rất đã
12787183,2,ngồi cả buổi không bị mỏi mắt
12787183,3,có thắc mắc xin hướng dẫn cách bảo hành điện tử 36 tháng
9255320,0,sản phẩm tốt giao hàng hơi lâu
9255320,1,chất lượng để thời gian kiểm chứng
9255320,2,nếu tốt thì tiếp tục ủng hộ
7047232,0,chỗ phần sắt sau màn hình
7047232,1,chỗ phần sắt của các đầu hdmi
7047232,2,hd port
7047232,3,vega
7047232,4,usb bị rò điện
7047232,5,mình chạm vào bị giật
7047232,6,xin hỏi muốn đổi thì làm như nào ạ?
14087057,0,giao tiki now nên đảm bảo không bể vỡ
14087057,1,đã tin dùng asus cho cả 2 em màn hình
16503792,0,đóng gói cẩn thận giao hàng muộn hơn dự kiến 1 ngày nhưng vẫn ok
16503792,1,cẩn thận
18007964,0,màn to
18007964,1,đẹp
18007964,2,hở sáng không đáng kể
12407521,0,màn hình độ sáng không đều
12407521,1,bên dưới hơi tối hơn một chút so với phía trên
12005454,0,sản phẩm chất lượng
12005454,1,đúng như mô tả
12005454,2,mà kích hoạt bảo hành như thế nào vậy shop?
15478290,0,màu lên đẹp
15478290,1,mua dell ultrasharp k có đổi qua loại này thấy hài lòng
13271585,0,ngoài việc hàng bị giao chậm vài ngày thì mọi thứ đều ổn cho tới thời điểm hiện tại
12635814,0,giao hàng sớm hơn dự báo dù trời mưa
12635814,1,màn vẫn làm việc tốt
15449704,0,màng hình tốt trong tầm giá
12869097,0,hàng chính hãng
12869097,1,rất chắc chắn
12869097,2,hình ảnh sáng đẹp
15491766,0,chất lượng màn hình tốt
15491766,1,thiết kế viền dưới hơi thô
12266145,0,hàng tốt
12266145,1,giá tốt
13499811,0,màn hình tốt nhưng mà hết hàng rồi vẫn treo bán
13499811,1,ship lâu quá 17 ngày lận
5273670,0,đóng gói cẩn thận
5273670,1,chất lượng hiển thị màu sắc khá tốt so với các màn khác trong cùng tầm giá
5273670,2,chân đế hơi to nhưng bù lại thì chắc chắn
5273670,3,ko rung lắc
15384608,0,giao hàng nhanh
15384608,1,gói cẩn thận
15384608,2,hoạt động tốt
14086459,0,tạm thời ok
14086459,1,giao khá nhanh
15500001,0,không biết kích hoạt bảo hành màn hình ntn
14723576,0,tôi cần biết chính sách bảo hành và hóa đơn vat
15575953,0,dịch vụ tốt
15575953,1,hàng chất lượng
14844259,0,xịn
13831774,0,đóng gói kỹ
13831774,1,giao hàng hơi lâu mặc dù tiki trading
12733887,0,hàng rất đẹp và ok luôn nha
12166798,0,sản phẩm hoạt động tốt đúng như mô tả
12166798,1,tuy nhiên vận chuyển chậm
13520475,0,giao hàng chậm
13520475,1,đặt hôm 11 giao ngày 28
13520475,2,ko hài lòng
4658300,0,vẫn chuyển nhanh
4658300,1,màn hình chất lượng
4658300,2,rất vừa ý
4658300,3,tỷ lệ màn hình 1610nên nhìn cảm giác rất lớn và đẹp d
15703909,0,rất ok
15703909,1,1610 rộng 169
13396303,0,hàng chuẩn nha
13160560,0,màu đẹp
13160560,1,tỉ lệ 1610 rộng hơn 169 truyền thống
12733398,0,sản phẩm quá tốt
6554126,0,hàng chính hãng
6554126,1,phù hợp cho ae làm đồ hoạ
11942256,0,tốt nhưng ko quá khác biệt chất lượng với các sp tầm giá 3tr
15755268,0,sài tốt lắm
15785641,0,ok cài ổn
13571090,0,màn xịn
13571090,1,giao và đóng gói cẩn thận
15186753,0,good giao hàng nhanh
15154928,0,màn hình đẹp ok
14523748,0,màn tốt giao hàng nhanh
12710026,0,xịn
4494879,0,tiki giao hàng chất lượng
4494879,1,đóng gói cẩn thận
4494879,2,màn hình màu rất đẹp
4494879,3,tuy nhiên
4494879,4,loa màn hình rất nhỏ
4494879,5,nên cân nhắc trước khi mua
7059891,0,màn mình mới mua 1 hôm
7059891,1,phát hiện chết điểm
7059891,2,shop có thể hỗ trợ đổi cho mình được không ạ?
13430733,0,màn hình tốt
13430733,1,giá cạnh tranh
12518079,0,thiết kế khá đẹp
12518079,1,có thêt xoay dọc
12659685,0,rất chất lượng
12659685,1,đẹp
12659685,2,chắc chắn
11661270,0,màn hình khá tốt
11661270,1,cung cấp dây chuyển đầy đủ
14755259,0,giao hàng ok
12183658,0,chẳng cần nói gì thêm! quá toẹt vời!
13507461,0,màn hình rất tốt!
12608979,0,chất lượng hình ảnh tốt
14775260,0,ok
12513119,0,sản phẩm như mong đợi
10528111,0,tuyệt vời
5880768,0,hang nhan dong goi can than
5880768,1,nhin da hon han dell u2414h de dung mot thoi gian moi danh gia chat luogn hien thi
10372854,0,rất hài lòng về sản phẩm
10372854,1,hơn cả trông đợi
9205628,0,màu tốt
9205628,1,đế vững chãi
9205628,2,phù hợp cho ngành thiết kế
5790970,0,màn hình bị hở sáng một ít
5790970,1,nhưng nhìn chung vẫn chấp nhận được
5790970,2,khá hài lòng!
12402837,0,sản phẩm tốt
12336936,0,sản phẩm tốt
6893038,0,mua cho phụ huynh dùng làm ảnh và edit video
6893038,1,không thấy chê bai gì
4793702,0,màu đẹp
4793702,1,chất lượng
4793702,2,rất đáng mua trong tầm giá
4797299,0,hộp đóng gói kỹ
4797299,1,màn hình rất tốt trong mức giá
11254751,0,màn hình đẹp
11731768,0,hài lòng
11204049,0,rất tốt
5857740,0,màn hìn quá oke
9498205,0,good!
7543008,0,ok
7322384,0,ngon
6592696,0,ok
5788982,0,good
19088494,0,màn hình chuẩn màu
19088494,1,đẹp
14715158,0,rất đẹp
14715158,1,xài màn hình 2k xuống full hd cảm thấy hơi rỗ nhẹ
14715158,3,kết nối 1 cổng type c qua macbook vừa sạc được vừa gọn quá tiện luôn tiki đặt hàng ngày chủ nhật mà trưa thứ 2 đã giao quá nhanh mặc dù mình ở ngoại thành hcm
16206970,0,hàng chất lượng
16206970,1,ko lỗi lầm
16206970,2,giao hàng nhanh
16206970,3,test đúng 75hz
16206970,4,chỉ hơi tiết là nhìn bề ngang hơi thô
16206970,5,cổng kết nối đa tiện dụng
16206970,6,đang sử dụng typec
16206970,7,cà có thể cắm usb
16206970,8,đèn
16206970,9,mở rộng thêm màn hình tùy ý ưng nhất điểm này ở con proart
19615220,0,bạn nào muốn mua liên hệ mình để lại cho nhé vì nhà mình có màn hình rộng hơn nên không dùng đến mấy
19615220,1,hàng mới mua tiki bảo hành còn nguyên máy chạy ngon
19615220,2,mình ở hà nội nha
19615220,3,ntin số mình
19615220,4,thanks
16980242,0,man hình đẹp
16980242,1,lúc đầu cân nhắc giữa 2 mà pa247cv và pa248qv
16980242,2,mặc dù thích tỷ lệ màn hình 1610 của 248qv hơn nhưng cuối cùng chọn 247cv vì có luôn cổng usb c vừa sạc được laptop vừa xuất hình ảnh ra màn hình
16980242,3,quá tiện và giúp giảm được số lượng dây cắm
16980242,4,quá tiện lợi
16980242,5,cá nhân mình mua màn hình chủ yếu làm việc văn phòng
16980242,6,xử lý công việc liên quan đến email và bảng tính excel nên thấy màn hình quá ưng
16980242,7,lúc mua xài được 1 tuần thì cổng c báo không nhận được tín hiệu
16980242,8,gọi đến trung tâm bảo hành asus thù được hướng dẫn mang đến chạy lại phần mềm là ổn
16980242,9,không cần thay hoặc đổi màn hình khác
16980242,10,nói chung là quá ưng ý
12883766,0,màu sắc đẹp chuẩn
12883766,1,sáng mà lại dịu mắt
12883766,2,màu chân hơi lạc tông với màn
12883766,3,tiki đưa thời gian giao lâu quá
12883766,4,tận 16 ngày từ hcm ra phú quốc nhưng cũng đáng công chờ
13092148,0,giao hàng nhanh chóng
13092148,1,màn sáng và màu sắc đẹp
13092148,2,so sánh giá gữa lazada với tiki cao hơn 1 chút vẫn quyết định mua tiki
13092148,3,vì mấy lần có trục trặc nhờ tiki hỗ trợ vẫn tốt nhất trong mấy trang thương mại điện tử
16690471,0,màn hình thì ok nhưng vừa bật lên đã thấy bị chết mấy điểm nhìn khá khó chịu
18688531,0,màu có phần đậm và sâu hơn so với dell ultra u2419
18688531,1,nhưng thực sự ko thích quả viền dày của asus
13928768,0,mình thích nhất là xoay dọc màn hình để đọc tài liệu
13928768,1,có thể kết hợp nhiều màn hình để làm màn hình mở rộng riêng biệt rất tuyệt vời
12890218,0,giao hàng mùa dịch hơi lâu
12890218,1,chất luọng hiển thị ok
12890218,2,nói chung tạm thời rất hài lòng
12890218,3,chờ thêm thời gian nữa update lại
12324392,0,màn hình nét
12324392,1,chuẩn màu nên khi xuất màn hình từ macbook ra không bị kích mắt
12324392,2,dịch vụ của tiki nhìn chung là ổn trừ 1 số cá nhân của khâu giao nhận hơi chán
14376192,0,màn hình dùng đã thực sự nha mọi người
13416360,0,không setup daisy chain đc vs màn hình dell p2418d theo hướng dẫn bằng cổng display port
13416360,1,mặc dù đã set màn asus làm màn hình chính và màn dell là phụ
13158289,0,hài lòng trong tầm giá
13158289,1,đc bảo hành 3 năm càng yên tâm
13158289,2,giao hành nhanh
13158289,3,uy tín
13158289,4,đongs gói vận chuyển cẩn thận
12685669,0,màn hình hiển thị màu sắc đẹp
12685669,1,chưa dùng lâu nên chưa biết chất lượng thế nào
12685669,2,tiki now giao hàng đúng hẹn
13229348,0,giao hàng hơi chậm
13229348,1,nhưng sản phẩm tốt
13229348,2,hình ảnh siêu nét
13907481,0,sản phẩm được giao nhanh
13907481,1,chất lượng hiển thị ổn với phân khúc full hd
13907481,2,giá tốt
12535975,0,very nice for a monitor on sale
12535975,1,thanks guys tiki
12535975,2,i will support you absolutely
12535975,3,one more time thks so much
12146708,0,tuyệt vời
12146708,1,dùng rất thích
12146708,2,cực kì chắc chắn
13174737,0,màu sắc khá đẹp
11796558,0,màn hình đẹp
11796558,1,có cổng usbc 65w và dp out giúp nối 2 màn hình
12540182,0,sản phẩm tốt
12540182,1,dù tikinow giao hàng hơi chậm
12540182,2,thái độ nhân viên giao hàng rất tốt!
15170790,0,giao nhanh! đẹp
15245688,0,mình mua tặng
15245688,1,được phản hồi là bao đẹp nhé!!
15596690,0,máy ok
13181064,0,đẹp
13181064,1,dễ sử dụng
13181064,2,có typec dô mac
13391381,0,chất lượng
13391381,1,dây đầy đủ
13391381,2,giao đúng ngày
13391381,3,gio hàng nhiệt tình
13226827,0,sản phẩm xài tốt
13226827,1,mua đợt khuyến mãi nên được giá rẻ
14526098,0,có cỗng type c rất tiện lợi
15523140,0,sản phẩm tốt
16001298,0,ok
13915426,0,sản phẩm tốt
13915426,1,rất ưng ý
13287453,0,giao hàng nhanh
13287453,1,sản phẩm chất
11656205,0,giao hàng đúng tiến độ hàng đúng mô tả trong web
13075588,0,màn hình siêu nét và đẹp
13391321,0,màn hình okie
13391321,1,đẹp
14726346,0,ok
14117903,0,màn ngon
13123857,0,hang ok nhe
12793327,0,thiếu sợi hdmi
13317675,0,oke
12932080,0,good
12738644,0,mình nhận màn hình hôm qua
12738644,1,mình kiểm tra thì phát hiện màn hình có một đóm màu xám rất khó chịu
12738644,2,đặc biệt khi ở khung màu trắng rất dễ nhìn thấy bằng mắt thường
12738644,3,mong tiki hỗ trợ đổi sản phẩm vì ảnh hưởng trực tiếp đến sử dụng nhất là đối với màn hình design
16511617,0,mình cho 3 sao vì màn hình bị 1 điểm chết ngay chính giữa ảnh hưởng đến trải nghiệm
16511617,1,nhưng theo chính sách của hãng thì không đủ điều kiện đổi hàng mới
16511617,2,còn về phần vận chuyển
16511617,3,chăm sóc kh
16511617,4,thu hồi kiểm tra bảo hành của tiki thì không có gì để phàn nàn
14097757,0,tiki giao trong ngày siêu nhanh
14097757,1,mình nhận về màn hình ko hở sáng
14097757,2,ko điểm chết
14097757,3,tiki tự kích hoạt bảo hành
14097757,4,màn hình màu rất chuẩn
14097757,5,ko mỏi mắt
14097757,6,phù hợp cho mình code và chỉnh ảnh
14097757,7,rất hài lòng
14097757,8,à mình săn sale nên mua được với giá 8tr thôi d
19359195,0,hai anh em mua tặng ba
19359195,1,ba cảm động và hài lòng
12276127,0,tặng nhiều hệ dây cắm nguồn
12276127,1,đủ dây displayport
12276127,2,hdmi
12276127,3,dây hub
12276127,4,chắc chắn
12276127,5,rõ nét sáng
12276127,6,mua cái thứ hai
12276127,7,tuyệt
13927278,0,màn to vẫn ngon hơn màn nhỏ
13927278,1,tuy nhiên cần bàn rộng 1 chút
13927278,2,bàn của mình rộng 80 vẫn cảm thấy hơi chật
13927278,3,2k và 27in là chuẩn
13927278,4,k bị bé quá như dell25
13927278,5,nhà có cả 2 cái
13927278,6,thích cái asus hơn
13927278,7,nhiều tính năng hơn
13927278,8,dùng để làm việc là chuẩn
13927278,9,mua của tiki
13927278,10,giao nhanh
13927278,11,hàng k lỗi
11807716,0,màn hình chất lượng được
11807716,1,hơi bị ngả tông xanh lá nhẹ
11807716,2,không bị bleed
11807716,3,tuy nhiên ngồi một lúc trước màn hình này
11807716,4,mình bị nhức đầu
11807716,5,ù tai
11807716,6,phòng để máy tính cũng bị nóng lên
11807716,7,màn hình tỏa ra quá nhiều tĩnh điện
11807716,8,từ trường
11807716,9,mình đã nối đất
11807716,10,nhưng hiệu quả cũng ko đỡ đi được nhiều
11807716,11,đáng buồn
11807716,12,có bác nào có cách giúp mình
11807716,13,nếu ko có nhu cầu mua lại liên hệ với mình nhé
14588240,0,12h trưa nay mới nhận được hàng cắm nên test thì hở sáng quá trời có cả điểm chết
14588240,1,dell u2417 còn k hở kinh vậy hy vọng tiki làm việc nhanh chóng để có màn dùng tết
15934357,0,sản phẩm đẹp
15934357,1,to
15934357,2,nét
15934357,3,không điểm chết
15934357,4,sử dụng rất thích
15934357,5,thích hơn dell
14960133,0,màn giao nhanh
14960133,1,hình ảnh đẹp
14960133,2,mỗi tội hàng nút bấm bị kẹt bấm dc mỗi nút chán chả muốn nói ko biet có được trả lại ko
12875416,0,sản phẩm giống như mô tả
12875416,1,giao hàng đúng hẹn
12875416,2,chất lượng sản phẩm như thế nào thì chưa biết
12875416,3,dây cáp hdmi nhận tín hiệu không tốt lắm
12875416,4,sẽ đánh giá thêm sau khi sử dụng
14518814,0,màn hình hiển thị sắc nét
14518814,1,làm việc rất thoải mái hay khi xem phim
14518814,2,bên cạnh đó
14518814,3,màn hình còn có khả năng phát âm thanh
14518814,4,rất tiện nếu bạn nào không thích sử dụng tai phone
14849809,0,mình mua 2 màn hình asus giống nhau
14849809,1,card màn hình giống nhau
14849809,2,chỉnh chế độ hiển thị như nhau
14849809,3,nhưng 2 màn hình cho ra 2 màu khác nhau
14849809,4,thử đủ kiểu mà không được
14849809,5,vậy trong 2 màu màn hình thì màu nào chuẩn?
17589962,0,mình ms lấy màn này 2708
17589962,1,dc mấy hôm thì màn bị vàng nửa dưới phần bên phải màn bị tối tối
17589962,2,ko biết lý do là j luôn
4772543,0,màn hình mới nhận
4772543,1,cách cạnh bên trai màn và góc trái trên màn hở so với tấm nền 11
4772543,3,góc phải dưới hở 1mm
4772543,4,đề nghị tiki thu hồi sản phẩm
16205293,0,sản phẩm tốt
16205293,1,giao hàng nhanh
16205293,2,nhưng phải ra ngõ bê về
16205293,3,lần sau tiki nhớ giao tận nhà
13004193,0,giao hàng nhanh
13004193,1,đúng sp đúng chất lượng
13004193,2,màn hình đẹp
13004193,3,nhân viên giao hàng lịch sự
4873215,0,chất lượng hiển thị tuyệt vời
4873215,1,màu sắc rất đẹp
4873215,2,màn hình mình nhận được không bị điểm chết hay hở sáng
4873215,3,nhưng có lưu ý là dây cáp hdmi đi kèm nếu sử dụng độ phân giải 2k thì chỉ được khoảng 30hz
4873215,4,bạn nào cần sử dụng khoảng 60hz trở lên thì nên mua cáp riêng xịn sò hơn
4696340,0,mình order nhận đc màn hình hở sáng
4696340,1,và nhân viên giải quyết rất chậm chạp
4696340,2,đến nay đã 1 tuần kể từ khi mua rồi trả hàng ktra xem xét
4696340,3,vẫn chưa thấy hồi âm
4022947,0,mình mua màn hình này để xài chung với cái dell utrasharp
4022947,1,thật sự rất bất ngờ với chất lượng hiển thị màu sắc của nó
4022947,2,màu tươi đẹp hơn dell nhiều
4022947,3,mình mua tiki giao hàng chưa đến 2 tiếng
4022947,4,rất nhanh
4022947,5,nhưng sản phẩm đầu tiên của mình bị 8 điểm chết trong đó 1 điểm chết nhìn rất rõ
4022947,6,tiki đã đổi màn hình mới cho mình mất gần 6 ngày
15457986,0,rất hài lòng với sản phẩm
15457986,1,dễ dàng lắp ghép với chân đế có sẵn xoay 360 độ rất tuyệt vời hoặc sử dụng tay đỡ màn hình cũng rất ok
12097603,0,màn hình rất đẹp check ko có điểm chết hay hở sáng
12097603,1,tiki giao hàng sớm hơn 2 ngày so với dự kiến
12097603,2,rất ưng ý!
13282491,0,màn xịn ko bị hở sáng
13282491,1,ko bị chết điểm ảnh
13282491,2,có kèm sẵn 1 dây hdmi và 1 dây mini dp to dp
13282491,3,dây hdmi xịn lên đc 75hz
13282491,4,đáng tiền!
12716237,0,thùng đựng sản phẩm được bọc kỹ càng
12716237,1,có ô tô đưa đón cẩn thận
12716237,2,mình đang test sản phẩm trong 7 ngày xem có lỗi liếc màn hình gì không
12716237,3,test sơ bồ thì quá ổn
16294899,0,tạm tạm
12457539,0,giao hàng siêu nhanh
12457539,1,đóng gỏi cẩn thận
12457539,2,mình đã kiểm tra màn hình
12457539,3,không điểm chết
12457539,4,không hở sáng
12504638,0,trừ việc giao hàng tới 1 tháng trong mùa dịch thì mọi thứ quá ngon
12504638,1,ko điểm chết ko hở sáng
13172712,0,hàng giai chậm 1 ngày nhưng ko sao
13172712,1,màn rất đẹp
13261947,0,giao nhanh
13261947,1,màn hình cứng cáp
13261947,2,hiển thị rõ nét
11250061,0,màn hình dính 2 điểm hở sáng hơi cay tý nhưng mình cũng không quá dùng về kĩ thuật nên chấp nhận được
18078862,0,good
12802470,0,chất lượng sản phẩm quá ngon
12802470,1,màu sắc đẹp
12802470,2,khổ là mình chỉnh 2560 nhỏ quá ko thấy đường đành phải nâng lên tí
12304232,0,màn hình sáng
12304232,1,ảnh sắc nét
12304232,2,lại còn có cả loa nữa
12304232,3,tuyệt vời k có gì để chê!
15302794,0,hàng đẹp ko tì vết
15302794,1,vận chuyển nhanh
14123325,0,mua hàng có đề nghị xuất hoá đơn đợi mãi kg thấy gửi
14123325,1,nhắn tiki kg thấy trả lời
6391217,0,mua con này rồi thì chỉ dùng một màn là đủ
6391217,1,to sắc nét
6391217,2,chắc chắn màu đẹp hơn dell u
6391217,3,chuẩn màu hay k thì ko quan tâm vì ko làm in ấn
6391217,4,nói chung là đáng đồng tiền
16073593,0,chất lượng màn hình rất tốt
16073593,1,mình rất hài lòng
13307214,0,màn siu sáng đẹp
13307214,1,ăn đứt con samsung qled 10tr
14494435,0,chất lượng sản phẩm tốt
14494435,1,tiki giao hàng muộn mất 2 tuần nên 1 sao
16479223,0,oke
12768554,0,yêu cầu đổi và hoàn tiền không xử lý cho khách
13896243,0,mà to nét check ko thấy lỗi gì cả
15641790,0,màn đẹp
16917655,0,màn đẹp xuất sắc
16232146,0,màn hình tốt
14496321,0,chân đế bị lệch nên cho 3 sao thôi
5777743,0,màn hình 2k refresh rate 75 hz
5777743,1,trong tầm giá này khó kiếm được con ngon hơn! tôi cũng mới xài
5777743,2,cảm nhận ban đầu thấy khá ok!
7213823,0,lúc đầu cũng ngại online với sp điện tử
