MasterID,ID,Text,AspectTerms,AspectPolarities,AspectCategories,CategoryPolarities
11313316#1234433,3,You can eat gourmet food at a fast food price.,"['gourmet food', 'fast food price']","{'gourmet food': 'positive', 'fast food price': 'positive'}",['ambience'],{'ambience': 'neutral'}
11313359#650269,0,At night the atmoshere changes turning into this hidden jewel that is waiting to be discovered.,"['night', 'hidden jewel', 'atmoshere changes']","{'night': 'negative', 'hidden jewel': 'negative', 'atmoshere changes': 'negative'}",['miscellaneous'],{'miscellaneous': 'neutral'}
11313359#650269,1,The boutique selection of wines covers a wide variety without being imposeing.,"['boutique selection', 'wines covers', 'imposeing', 'wide variety']","{'boutique selection': 'neutral', 'wines covers': 'neutral', 'imposeing': 'neutral', 'wide variety': 'neutral'}",['food'],{'food': 'neutral'}
11313392#560011,0,Pizzas were excellent in addition to appetizers and main courses.,"['appetizers', 'pizzas', 'addition', 'main courses']","{'appetizers': 'positive', 'pizzas': 'positive', 'addition': 'positive', 'main courses': 'positive'}",['service'],{'service': 'neutral'}
11313392#560011,1,"Definitely try the calamari, any pasta, or even the Sliced steak entree.","['calamari', 'sliced steak entree', 'pasta']","{'calamari': 'neutral', 'sliced steak entree': 'neutral', 'pasta': 'neutral'}",['price'],{'price': 'neutral'}
11313431#524365,0,My fiance and I recently wanted to see the city and deceided to take a dinner cruise.,"['fiance', 'city', 'dinner cruise']","{'fiance': 'neutral', 'city': 'neutral', 'dinner cruise': 'neutral'}",['ambience'],{'ambience': 'neutral'}
11313431#524365,1,"From the beginning, we were met by friendly staff memebers, and the convienent parking at Chelsea Piers made it easy for us to get to the boat.","['chelsea piers', 'friendly staff memebers', 'boat', 'convienent parking', 'beginning']","{'chelsea piers': 'positive', 'friendly staff memebers': 'positive', 'boat': 'positive', 'convienent parking': 'positive', 'beginning': 'positive'}",['miscellaneous'],{'miscellaneous': 'neutral'}
11313431#524365,2,"Once we sailed, the top-notch food and live entertainment sold us on a unforgettable evening.","['unforgettable evening', 'live entertainment', 'top-notch food']","{'unforgettable evening': 'positive', 'live entertainment': 'positive', 'top-notch food': 'positive'}",['food'],{'food': 'positive'}
11313431#524365,3,"No doubt the next time we want to go out for a special occasion or are entertaining guests from out of town, Spirit and Bateaux will be our destination.","['next time', 'spirit', 'guests', 'doubt', 'town', 'destination', 'special occasion', 'bateaux']","{'next time': 'positive', 'spirit': 'positive', 'guests': 'positive', 'doubt': 'positive', 'town': 'positive', 'destination': 'positive', 'special occasion': 'positive', 'bateaux': 'positive'}",['service'],{'service': 'neutral'}
11313439#692431,0,Anytime and everytime I find myself in the neighborhood I will go to Sushi Rose for fresh sushi and great portions all at a reasonable price.,"['sushi rose', 'fresh sushi', 'neighborhood', 'great portions', 'reasonable price', 'anytime', 'everytime']","{'sushi rose': 'positive', 'fresh sushi': 'positive', 'neighborhood': 'positive', 'great portions': 'positive', 'reasonable price': 'positive', 'anytime': 'positive', 'everytime': 'positive'}",['price'],{'price': 'positive'}
11313439#692431,1,"The restaurant could use a little paint, but all in all a great sushi place!","['little paint', 'restaurant', 'great sushi place']","{'little paint': 'positive', 'restaurant': 'positive', 'great sushi place': 'positive'}",['food'],{'food': 'neutral'}
11349445#757796,0,"If you're in the 'hood, definitely stop in.","[""'hood""]","{""'hood"": 'neutral'}",['food'],{'food': 'neutral'}
11349445#757796,1,the mushroom barley soup is amazing.,['mushroom barley soup'],{'mushroom barley soup': 'positive'},['food'],{'food': 'neutral'}
11349445#757796,2,It's best to go on a cold night with a close friend or a good book.,"['good book', 'cold night', 'close friend']","{'good book': 'positive', 'cold night': 'positive', 'close friend': 'positive'}",['service'],{'service': 'neutral'}
11349445#757796,3,Stay away if you're claustrophobic,[],{},['food'],{'food': 'neutral'}
11349536#778388,0,Had dinner here on a Friday and the food was great.,"['friday', 'had dinner', 'food']","{'friday': 'positive', 'had dinner': 'positive', 'food': 'positive'}",['price'],{'price': 'neutral'}
11349536#778388,1,"You're going to drop some coin, but completely worth it, especially if you are looking to impress someone.","['someone', 'coin']","{'someone': 'positive', 'coin': 'positive'}",['food'],{'food': 'neutral'}
11349536#778388,2,After dinner I heard music playing and discovered that there is a lounge downstairs.,"['lounge downstairs', 'dinner', 'music playing']","{'lounge downstairs': 'neutral', 'dinner': 'neutral', 'music playing': 'neutral'}",['price'],{'price': 'neutral'}
11349654#424016,0,It's cute and simple and I loved it.,[],{},['food'],{'food': 'neutral'}
11349654#424016,1,Despite the 5th ave address there are no frills whick I also love.,"['frills', 'ave address']","{'frills': 'positive', 'ave address': 'positive'}",['price'],{'price': 'neutral'}
11349760#848056,0,We were there March 7 and found Maison very nice.,"['maison', 'march']","{'maison': 'positive', 'march': 'positive'}",['miscellaneous'],{'miscellaneous': 'neutral'}
11349760#848056,1,"The food was good, the service prompt, and the price very reasonable.","['service prompt', 'price', 'food']","{'service prompt': 'positive', 'price': 'positive', 'food': 'positive'}",['price'],{'price': 'positive'}
11349840#433070,0,"This place is Italian, not French.",['place'],{'place': 'neutral'},['service'],{'service': 'neutral'}
11349840#433070,1,"The pasta primavera was outstanding as well, lots of fresh veggies.","['fresh veggies', 'lots', 'pasta primavera']","{'fresh veggies': 'positive', 'lots': 'positive', 'pasta primavera': 'positive'}",['service'],{'service': 'neutral'}
11349840#433070,2,"Unfortunately, with our show tickets, we didn't have time to sample any desserts.","['time', 'desserts', 'show tickets']","{'time': 'negative', 'desserts': 'negative', 'show tickets': 'negative'}",['price'],{'price': 'neutral'}
11349840#433070,3,"If you're in the neighborhood, definitely stop by for a great meal.","['neighborhood', 'great meal']","{'neighborhood': 'positive', 'great meal': 'positive'}",['ambience'],{'ambience': 'neutral'}
11349845#1188496,0,"Would you ever believe that when you complain about over an hour wait, when they tell you it will be 20-30 minutes, the manager tells the bartender to spill the drinks you just paid for?","['20-30 minutes', 'bartender', 'manager', 'hour wait', 'drinks']","{'20-30 minutes': 'neutral', 'bartender': 'neutral', 'manager': 'neutral', 'hour wait': 'neutral', 'drinks': 'neutral'}",['food'],{'food': 'neutral'}
11349845#1188496,1,"Well, it happened because of a graceless manager and a rude bartender who had us waiting 20 minutes for drinks, and then tells us to chill out.","['rude bartender', 'graceless manager', 'drinks', 'minutes']","{'rude bartender': 'negative', 'graceless manager': 'negative', 'drinks': 'negative', 'minutes': 'negative'}",['food'],{'food': 'neutral'}
11349845#1188496,2,"Don't ever bother - the drinks were awful, but it was the people who work there that really made this the worst experience at dining.","['experience', 'dining', 'drinks', 'people']","{'experience': 'negative', 'dining': 'negative', 'drinks': 'negative', 'people': 'negative'}",['food'],{'food': 'neutral'}
11349871#518230,0,I have no idea why this restaurant is so often overlooked.,"['idea', 'restaurant']","{'idea': 'neutral', 'restaurant': 'neutral'}",['price'],{'price': 'neutral'}
11349871#518230,1,"From the moment you walk in, you feel like you're in the perfect place.","['perfect place', 'moment']","{'perfect place': 'positive', 'moment': 'positive'}",['ambience'],{'ambience': 'neutral'}
11349871#518230,2,"Everyone who works there (the host, the bartender, the servers) is so helpful.","['bartender', 'host', 'servers', 'everyone']","{'bartender': 'neutral', 'host': 'neutral', 'servers': 'neutral', 'everyone': 'neutral'}",['food'],{'food': 'neutral'}
11349871#518230,3,And the food is fantastic.,['food'],{'food': 'positive'},['food'],{'food': 'positive'}
11349871#518230,4,Favourites include: potato spinach gnocchi and the lamb.,"['lamb', 'potato spinach gnocchi', 'favourites']","{'lamb': 'neutral', 'potato spinach gnocchi': 'neutral', 'favourites': 'neutral'}",['service'],{'service': 'neutral'}
11349922#547169,0,Half a chicken with a mountain of rice and beans for $6.25.,"['beans', 'rice', 'mountain', 'chicken']","{'beans': 'negative', 'rice': 'negative', 'mountain': 'negative', 'chicken': 'negative'}",['price'],{'price': 'neutral'}
11350010#590580,0,The service is excellent and always informative without an air.,"['service', 'air']","{'service': 'positive', 'air': 'positive'}",['ambience'],{'ambience': 'neutral'}
11350031#590790,0,I would definitely go back -- if only for some of those exotic martinis on the blackboard.,"['blackboard', 'exotic martinis']","{'blackboard': 'positive', 'exotic martinis': 'positive'}",['ambience'],{'ambience': 'neutral'}
11350033#1264371,0,The lack of AC and the fact that there are a million swarming bodies (although everyone is polite and no one is pushing) is a slight turn off.,"['slight turn', 'lack', 'ac', 'one', 'everyone', 'swarming bodies', 'fact']","{'slight turn': 'negative', 'lack': 'negative', 'ac': 'negative', 'one': 'negative', 'everyone': 'negative', 'swarming bodies': 'negative', 'fact': 'negative'}",['food'],{'food': 'neutral'}
11350033#1264371,1,"However, there is just something so great about being outdoors, in great landscaping, enjoying a casual drink that makes going to this place worthwhile.","['great landscaping', 'something', 'place worthwhile', 'outdoors', 'casual drink']","{'great landscaping': 'positive', 'something': 'positive', 'place worthwhile': 'positive', 'outdoors': 'positive', 'casual drink': 'positive'}",['service'],{'service': 'neutral'}
11350033#1264371,2,I didn't go there for food so I can't comment.,['food'],{'food': 'neutral'},['price'],{'price': 'neutral'}
11350033#1264371,3,A con was the slow bar service.,"['slow bar service', 'con']","{'slow bar service': 'negative', 'con': 'negative'}",['ambience'],{'ambience': 'neutral'}
11350033#1264371,4,A plus was the good mix of people in their twenties that provided for great eye-candy while I was there.,"['good mix', 'plus', 'twenties', 'people']","{'good mix': 'positive', 'plus': 'positive', 'twenties': 'positive', 'people': 'positive'}",['price'],{'price': 'neutral'}
11350141#1745557,0,My friends and I stop here for pizza before hitting the Kips Bay movie theater.,"['pizza', 'kips bay movie theater', 'friends']","{'pizza': 'neutral', 'kips bay movie theater': 'neutral', 'friends': 'neutral'}",['food'],{'food': 'neutral'}
11350141#1745557,1,We always enjoy the pizza.,['pizza'],{'pizza': 'positive'},['service'],{'service': 'neutral'}
11350141#1745557,2,The service is pretty good.,['service'],{'service': 'positive'},['ambience'],{'ambience': 'neutral'}
11350142#1253117,0,"Two complaints- their appetizer selection stinks, it would be nice to get some mozzarella sticks on the menu.","['mozzarella sticks', 'menu', 'appetizer selection stinks']","{'mozzarella sticks': 'neutral', 'menu': 'neutral', 'appetizer selection stinks': 'neutral'}",['ambience'],{'ambience': 'neutral'}
11350269#481079,0,One of my Fav spots in the city.,"['city', 'fav spots']","{'city': 'neutral', 'fav spots': 'neutral'}",['miscellaneous'],{'miscellaneous': 'neutral'}
11350390#802808,0,"The unattractive lighting made me want to gag, the food was overpriced, there was the most awful disco pop duo performing-and my escargot looked like it might crawl off the plate.","['awful disco pop duo performing-and', 'plate', 'escargot', 'food', 'unattractive lighting']","{'awful disco pop duo performing-and': 'negative', 'plate': 'negative', 'escargot': 'negative', 'food': 'negative', 'unattractive lighting': 'negative'}",['food'],{'food': 'negative'}
11350390#802808,1,"I have never in my life sent back food before, but I simply had to, and the waiter argued with me over this.","['life', 'food', 'waiter']","{'life': 'neutral', 'food': 'neutral', 'waiter': 'neutral'}",['service'],{'service': 'neutral'}
11350496#1560668,0,"The service is great, my soup always arrives nice and hot.","['service', 'soup']","{'service': 'positive', 'soup': 'positive'}",['price'],{'price': 'neutral'}
11350496#1560668,1,My only complaint might be the fortune cookies - I've never had a cookie predict bad luck for me before I visited Kar.,"['kar', 'fortune', 'only complaint', 'cookie predict bad luck']","{'kar': 'negative', 'fortune': 'negative', 'only complaint': 'negative', 'cookie predict bad luck': 'negative'}",['service'],{'service': 'neutral'}
11350539#680470,0,Whether one pizza place is better than another is often very subjective.,['pizza place'],{'pizza place': 'positive'},['miscellaneous'],{'miscellaneous': 'neutral'}
11350539#680470,1,My personal favorite is Nick and Joe's.,"['joe', 'personal favorite', 'nick']","{'joe': 'positive', 'personal favorite': 'positive', 'nick': 'positive'}",['ambience'],{'ambience': 'neutral'}
11350539#680470,2,"It's a basic pizza joint, not much to look at, but the pizza is what I go for.","['pizza', 'basic pizza joint']","{'pizza': 'neutral', 'basic pizza joint': 'neutral'}",['food'],{'food': 'neutral'}
11350539#680470,3,The sauce is zesty and flavorful and the crust is nice and crispy.,"['sauce', 'crust', 'crispy']","{'sauce': 'positive', 'crust': 'positive', 'crispy': 'positive'}",['price'],{'price': 'neutral'}
11350539#680470,4,"The sauce may not be for everyone, since it is distintive.","['sauce', 'everyone']","{'sauce': 'neutral', 'everyone': 'neutral'}",['ambience'],{'ambience': 'neutral'}
11350539#680470,5,Likewise if you like really thin crust or really big slices then Nick and Joe's may not be your favorite.,"['thin crust', 'joe', 'big slices', 'nick']","{'thin crust': 'neutral', 'joe': 'neutral', 'big slices': 'neutral', 'nick': 'neutral'}",['miscellaneous'],{'miscellaneous': 'neutral'}
11350539#680470,6,Don't be put off by another reviewers extremely negative review.,"['negative review', 'reviewers']","{'negative review': 'negative', 'reviewers': 'negative'}",['food'],{'food': 'neutral'}
11350539#680470,7,"Like I said, Nick and Joe's may not be everyone's favorite, but it's mine.","['mine', 'joe', 'nick', 'everyone']","{'mine': 'positive', 'joe': 'positive', 'nick': 'positive', 'everyone': 'positive'}",['service'],{'service': 'neutral'}
11350660#564640,0,"Being a vegan myself, I've made a point of trying all the vegan restaurants in Manhattan--and Zen Palate is easily my favorite.","['zen palate', 'vegan restaurants', 'point', 'favorite', 'manhattan', 'vegan']","{'zen palate': 'positive', 'vegan restaurants': 'positive', 'point': 'positive', 'favorite': 'positive', 'manhattan': 'positive', 'vegan': 'positive'}",['service'],{'service': 'neutral'}
11350660#564640,1,"The selection of food is excellent (I'm not used to having much choice at restaurants), and the atmosphere is great.","['selection', 'much choice', 'restaurants', 'food', 'atmosphere']","{'selection': 'positive', 'much choice': 'positive', 'restaurants': 'positive', 'food': 'positive', 'atmosphere': 'positive'}",['ambience'],{'ambience': 'neutral'}
11351324#0,0,"The menu, which changes seasonally, shows both regional and international influences.","['menu', 'international influences']","{'menu': 'neutral', 'international influences': 'neutral'}",['miscellaneous'],{'miscellaneous': 'neutral'}
11351328#1638529,0,"I love the Little Pie Company as much as anyone else who has written reviews, but must discourage anyone from visiting the Grand Central location due to their RUDE service from two sales people.","['rude service', 'grand central location', 'anyone', 'reviews', 'little pie company', 'sales people']","{'rude service': 'neutral', 'grand central location': 'neutral', 'anyone': 'neutral', 'reviews': 'neutral', 'little pie company': 'neutral', 'sales people': 'neutral'}",['food'],{'food': 'neutral'}
11351328#1638529,1,"After I paid for my purchase, I noticed they had not given me utensils so I could eat my pie.","['purchase', 'pie']","{'purchase': 'neutral', 'pie': 'neutral'}",['ambience'],{'ambience': 'neutral'}
11351328#1638529,2,I had to flag down a third staff person for a fork... so now it's goodbye Little RUDE Pie Company.,"['fork', 'third staff person', 'goodbye little rude pie company']","{'fork': 'negative', 'third staff person': 'negative', 'goodbye little rude pie company': 'negative'}",['food'],{'food': 'neutral'}
11351354#412616,0,"The food is surprisingly good, and the decor is nice.","['decor', 'food']","{'decor': 'positive', 'food': 'positive'}",['price'],{'price': 'neutral'}
11351354#412616,1,"The service, however, is a peg or two below the quality of food (horrible bartenders), and the clientele, for the most part, are rowdy, loud-mouthed commuters (this could explain the bad attitudes from the staff) getting loaded for an AC/DC concert or a Knicks game.","['clientele', 'bad attitudes', 'service', 'horrible bartenders', 'knicks game', 'food', 'quality', 'loud-mouthed commuters', 'ac/dc concert', 'part', 'staff', 'peg']","{'clientele': 'negative', 'bad attitudes': 'negative', 'service': 'negative', 'horrible bartenders': 'negative', 'knicks game': 'negative', 'food': 'negative', 'quality': 'negative', 'loud-mouthed commuters': 'negative', 'ac/dc concert': 'negative', 'part': 'negative', 'staff': 'negative', 'peg': 'negative'}",['miscellaneous'],{'miscellaneous': 'neutral'}
11351354#412616,2,"Too bad, has a lot of potential.",['lot'],{'lot': 'negative'},['ambience'],{'ambience': 'neutral'}
11351354#812637,0,The Yellowfin Tuna and Calf's liver are my favorites!,"['calf', 'yellowfin tuna', 'liver', 'favorites']","{'calf': 'neutral', 'yellowfin tuna': 'neutral', 'liver': 'neutral', 'favorites': 'neutral'}",['miscellaneous'],{'miscellaneous': 'neutral'}
11351360#1704700,0,"I was on jury duty, rode my bike up Centre Street on my lunch break and came across this great little place with awesome chicken tacos and Hibiscus lemonade.","['centre street', 'bike', 'great little place', 'awesome chicken tacos', 'jury duty', 'hibiscus lemonade', 'lunch break']","{'centre street': 'positive', 'bike': 'positive', 'great little place': 'positive', 'awesome chicken tacos': 'positive', 'jury duty': 'positive', 'hibiscus lemonade': 'positive', 'lunch break': 'positive'}",['price'],{'price': 'neutral'}
11351360#1704700,1,"People in the neighborhood seem to love it, too.","['neighborhood', 'people']","{'neighborhood': 'positive', 'people': 'positive'}",['ambience'],{'ambience': 'neutral'}
11351399#0,0,"Innovations are just as assured, from the simple Carinthia cheese ravioli with wild mushrooms to the caviar-topped sturgeon, beautifully matched with a bright green spinach-vodka sauce.","['bright green spinach-vodka sauce', 'caviar-topped sturgeon', 'simple carinthia cheese ravioli', 'innovations', 'wild mushrooms']","{'bright green spinach-vodka sauce': 'positive', 'caviar-topped sturgeon': 'positive', 'simple carinthia cheese ravioli': 'positive', 'innovations': 'positive', 'wild mushrooms': 'positive'}",['service'],{'service': 'neutral'}
11351399#0,1,"Menus feature seasonal picks, like sweet corn-foie gras brulee.","['sweet corn-foie gras brulee', 'menus feature seasonal picks']","{'sweet corn-foie gras brulee': 'positive', 'menus feature seasonal picks': 'positive'}",['food'],{'food': 'neutral'}
11351400#495795,0,THE SERVICE IS PERFECT TOO  NOTHING WRONG IN THIS ITALIAN/FRENCH RESTAURANT,['service is perfect too nothing wrong in this italian/french restaurant'],{'service is perfect too nothing wrong in this italian/french restaurant': 'neutral'},['miscellaneous'],{'miscellaneous': 'neutral'}
11351451#805713,0,The foie gras was sweet and luscious.,['foie gras'],{'foie gras': 'positive'},['price'],{'price': 'neutral'}
11351451#805713,1,"My gf's duck confitte was very solid as well, although i have little base of reference.","['little base', 'gf', 'reference', 'i', 'duck confitte']","{'little base': 'negative', 'gf': 'negative', 'reference': 'negative', 'i': 'negative', 'duck confitte': 'negative'}",['ambience'],{'ambience': 'neutral'}
11351451#805713,2,"Although somewhat loud, the noise was minimally intrusive.",['noise'],{'noise': 'neutral'},['miscellaneous'],{'miscellaneous': 'neutral'}
11351453#683961,0,"the wait staff is very friendly, if your not rude or picky.......our meal at Leon last weekend was great -.","['wait staff', 'leon last weekend', 'meal']","{'wait staff': 'positive', 'leon last weekend': 'positive', 'meal': 'positive'}",['food'],{'food': 'neutral'}
11351453#683961,1,I recommend any of their salmon dishes......,['salmon dishes'],{'salmon dishes': 'neutral'},['service'],{'service': 'neutral'}
11351513#832512,0,Great food but the service was dreadful!,"['service', 'great food']","{'service': 'neutral', 'great food': 'neutral'}",['price'],{'price': 'neutral'}
11351513#832512,1,the two waitress's looked like they had been sucking on lemons.,"['waitress', 'lemons']","{'waitress': 'neutral', 'lemons': 'neutral'}",['ambience'],{'ambience': 'neutral'}
11351513#832512,2,The service was dreadfully slow (the place was only half full) and a smile would have been nice...,"['service', 'place', 'smile']","{'service': 'positive', 'place': 'positive', 'smile': 'positive'}",['miscellaneous'],{'miscellaneous': 'neutral'}
11351521#768768,0,"At peak times, the restaurant is overcrowded and tables are uncomfortably close.","['peak times', 'restaurant', 'tables']","{'peak times': 'negative', 'restaurant': 'negative', 'tables': 'negative'}",['food'],{'food': 'neutral'}
11351521#768768,1,"If you are here as a pre-show meal, hop in a cab and take the extra 10 minutes to go to the uptown location.","['cab', 'pre-show meal', 'uptown location', 'minutes', 'hop']","{'cab': 'neutral', 'pre-show meal': 'neutral', 'uptown location': 'neutral', 'minutes': 'neutral', 'hop': 'neutral'}",['food'],{'food': 'neutral'}
11351521#768768,2,You won't be dissapointed.,[],{},['miscellaneous'],{'miscellaneous': 'neutral'}
11351561#744321,0,"It's just everything...the food, the atmosphere...the incrediby kind and gracious hostess.","['gracious hostess', 'food', 'atmosphere', 'everything', 'incrediby kind']","{'gracious hostess': 'positive', 'food': 'positive', 'atmosphere': 'positive', 'everything': 'positive', 'incrediby kind': 'positive'}",['ambience'],{'ambience': 'neutral'}
11351561#744321,1,I just have nothing to say about this place that is negative except that it's not a cheap night out...but it's SO worth it.,"['place', 'nothing', 'cheap night']","{'place': 'neutral', 'nothing': 'neutral', 'cheap night': 'neutral'}",['miscellaneous'],{'miscellaneous': 'neutral'}
11351587#1488758,0,"After so many great reviews here, my bf and I went to Esca to celebrate my birthday last nite.","['many great reviews', 'birthday last nite', 'bf', 'esca']","{'many great reviews': 'positive', 'birthday last nite': 'positive', 'bf': 'positive', 'esca': 'positive'}",['food'],{'food': 'neutral'}
11351587#1488758,1,"The ambiance was fine, a little loud but still nice and romantic.","['little loud', 'ambiance']","{'little loud': 'positive', 'ambiance': 'positive'}",['service'],{'service': 'neutral'}
11351587#1488758,2,"However, being foodies, we were utterly disappointed with the food.","['food', 'foodies']","{'food': 'negative', 'foodies': 'negative'}",['price'],{'price': 'neutral'}
11351587#1488758,3,It is bland and nothing extrodinary.,['nothing extrodinary'],{'nothing extrodinary': 'negative'},['ambience'],{'ambience': 'neutral'}
11351587#1488758,4,"I recommend the black roasted codfish, it was the best dish of the evening.","['dish', 'black roasted codfish', 'evening']","{'dish': 'positive', 'black roasted codfish': 'positive', 'evening': 'positive'}",['food'],{'food': 'neutral'}
11351587#1488758,5,Would not return for the amount we paid.,['amount'],{'amount': 'neutral'},['food'],{'food': 'neutral'}
11351620#1180095,0,i had a delicious shrimp creole.,"['i', 'delicious shrimp creole']","{'i': 'positive', 'delicious shrimp creole': 'positive'}",['service'],{'service': 'neutral'}
11351620#1180095,1,The chicken dinner was real good.,['chicken dinner'],{'chicken dinner': 'positive'},['price'],{'price': 'neutral'}
11351620#1180095,2,but the food was delicious.,['food'],{'food': 'positive'},['food'],{'food': 'positive'}
11351622#0,0,The space is traditional in feel.,"['feel', 'space']","{'feel': 'neutral', 'space': 'neutral'}",['ambience'],{'ambience': 'neutral'}
11351622#0,1,Creative dishes like king crab salad with passion fruit vinaigrette and fettuccine with grilled seafood in a rosemary-orange sauce are unexpected elements on an otherwise predictable bistro menu.,"['fettuccine', 'otherwise predictable bistro menu', 'creative dishes', 'unexpected elements', 'crab salad', 'grilled seafood', 'rosemary-orange sauce', 'passion fruit vinaigrette']","{'fettuccine': 'positive', 'otherwise predictable bistro menu': 'positive', 'creative dishes': 'positive', 'unexpected elements': 'positive', 'crab salad': 'positive', 'grilled seafood': 'positive', 'rosemary-orange sauce': 'positive', 'passion fruit vinaigrette': 'positive'}",['service'],{'service': 'neutral'}
11351622#0,2,Montparnasse's desserts--especially the silken creme brulee and paper-thin apple tart--are good enough on their own to make the restaurant worth the trip.,"['silken creme brulee', 'restaurant', 'desserts', 'paper-thin apple tart', 'trip', 'montparnasse']","{'silken creme brulee': 'positive', 'restaurant': 'positive', 'desserts': 'positive', 'paper-thin apple tart': 'positive', 'trip': 'positive', 'montparnasse': 'positive'}",['service'],{'service': 'neutral'}
11351625#909535,0,Had a great meal there this weekend before heading to the movies!,"['movies', 'great meal', 'weekend']","{'movies': 'positive', 'great meal': 'positive', 'weekend': 'positive'}",['price'],{'price': 'neutral'}
11351625#909535,1,It had been awhile and I forgot just how delicious crepes can be.,['delicious crepes'],{'delicious crepes': 'positive'},['ambience'],{'ambience': 'neutral'}
11351628#404492,0,The food--though mostly deep-fried--is simple and satisfying.,"['satisfying', 'food']","{'satisfying': 'positive', 'food': 'positive'}",['miscellaneous'],{'miscellaneous': 'neutral'}
11351628#404492,1,Dieters stick to salads or indulge in vegetarian platters.,"['dieters', 'vegetarian platters']","{'dieters': 'neutral', 'vegetarian platters': 'neutral'}",['food'],{'food': 'neutral'}
11351628#404492,2,"Creamy appetizers--taramasalata, eggplant salad, and Greek yogurt (with cuccumber, dill, and garlic) taste excellent when on warm pitas.","['garlic', 'dill', 'taste', 'creamy appetizers', 'taramasalata', 'warm pitas', 'eggplant salad', 'cuccumber', 'greek yogurt']","{'garlic': 'positive', 'dill': 'positive', 'taste': 'positive', 'creamy appetizers': 'positive', 'taramasalata': 'positive', 'warm pitas': 'positive', 'eggplant salad': 'positive', 'cuccumber': 'positive', 'greek yogurt': 'positive'}",['service'],{'service': 'neutral'}
11351628#404492,3,because the waiters need SEVERE ATTITUE ADJUSTMENTS.,"['severe attitue adjustments', 'waiters']","{'severe attitue adjustments': 'neutral', 'waiters': 'neutral'}",['price'],{'price': 'neutral'}
11351628#404492,4,The waiters ALWAYS look angry and even ignore their high-tipping regulars.,"['waiters always', 'high-tipping regulars']","{'waiters always': 'negative', 'high-tipping regulars': 'negative'}",['price'],{'price': 'neutral'}
